layer,feature,live_value,replay_value,delta,abs_delta,live_missing,replay_missing
meta_model_input,beta_24h,0.3697916567325592,1.359375,-0.9895833432674408,0.9895833432674408,False,False
meta_raw_contract,f39,0.3697916567325592,1.359375,-0.9895833432674408,0.9895833432674408,False,False
meta_model_input,regime_trend_score,-1.5259501934051514,-0.6229484677314758,-0.9030017256736755,0.9030017256736755,False,False
meta_raw_contract,f313,-1.5259501934051514,-0.6229484677314758,-0.9030017256736755,0.9030017256736755,False,False
meta_model_input,corr_concentration_24h,-1.190506935119629,-0.2926671802997589,-0.89783975481987,0.89783975481987,False,False
meta_raw_contract,f51,-1.190506935119629,-0.2926671802997589,-0.89783975481987,0.89783975481987,False,False
meta_model_input,regime_vol_score,1.3470429182052612,1.5529729127883911,-0.20592999458312988,0.20592999458312988,False,False
meta_raw_contract,f314,1.3470429182052612,1.5529729127883911,-0.20592999458312988,0.20592999458312988,False,False
meta_model_input,resid_ret_6h,-0.13914437592029572,-0.23495633900165558,0.09581196308135986,0.09581196308135986,False,False
meta_raw_contract,f315,-0.13914437592029572,-0.23495633900165558,0.09581196308135986,0.09581196308135986,False,False
meta_model_input,mkt_rv_ratio,0.3118276298046112,0.24045003950595856,0.07137759029865265,0.07137759029865265,False,False
meta_raw_contract,f136,0.3118276298046112,0.24045003950595856,0.07137759029865265,0.07137759029865265,False,False
meta_model_input,pct_assets_up_1h,-0.12827108800411224,-0.08709811419248581,-0.041172973811626434,0.041172973811626434,False,False
meta_raw_contract,f267,-0.12827108800411224,-0.08709811419248581,-0.041172973811626434,0.041172973811626434,False,False
meta_model_input,kf_atr_mean,0.20328298211097717,0.24170269072055817,-0.038419708609580994,0.038419708609580994,False,False
meta_raw_contract,f112,0.20328298211097717,0.24170269072055817,-0.038419708609580994,0.038419708609580994,False,False
meta_model_input,asset_minus_universe_median_ret_4h,1.271220326423645,1.241119146347046,0.03010118007659912,0.03010118007659912,False,False
meta_model_input,asset_ret_vs_universe_4h,1.271220326423645,1.241119146347046,0.03010118007659912,0.03010118007659912,False,False
meta_raw_contract,f19,1.271220326423645,1.241119146347046,0.03010118007659912,0.03010118007659912,False,False
meta_raw_contract,f27,1.271220326423645,1.241119146347046,0.03010118007659912,0.03010118007659912,False,False
meta_model_input,regime_liquidity_score,-0.1555769294500351,-0.13055865466594696,-0.025018274784088135,0.025018274784088135,False,False
meta_raw_contract,f309,-0.1555769294500351,-0.13055865466594696,-0.025018274784088135,0.025018274784088135,False,False
meta_model_input,cs_dispersion_ret_24h,2.012465000152588,2.0367841720581055,-0.024319171905517578,0.024319171905517578,False,False
meta_raw_contract,f52,2.012465000152588,2.0367841720581055,-0.024319171905517578,0.024319171905517578,False,False
meta_model_input,pct_assets_high_rvol,-1.1193441152572632,-1.0979982614517212,-0.021345853805541992,0.021345853805541992,False,False
meta_raw_contract,f266,-1.1193441152572632,-1.0979982614517212,-0.021345853805541992,0.021345853805541992,False,False
meta_lgbm_tree,lgbm_depth4_minpct1500_tree145_leaf3_soft,0.6796988248825073,0.6585056781768799,0.02119314670562744,0.02119314670562744,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree32_leaf0_soft,0.6641784906387329,0.6853416562080383,-0.02116316556930542,0.02116316556930542,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree39_leaf0_soft,0.6641784906387329,0.6853416562080383,-0.02116316556930542,0.02116316556930542,False,False
meta_lgbm_tree,lgbm_depth3_minpct0500_tree18_leaf0_soft,0.6641784906387329,0.6853416562080383,-0.02116316556930542,0.02116316556930542,False,False
meta_lgbm_tree,lgbm_depth3_minpct0500_tree19_leaf0_soft,0.6641784906387329,0.6853416562080383,-0.02116316556930542,0.02116316556930542,False,False
meta_lgbm_tree,lgbm_depth3_minpct0500_tree30_leaf0_soft,0.6641784906387329,0.6853416562080383,-0.02116316556930542,0.02116316556930542,False,False
meta_lgbm_tree,lgbm_depth3_minpct0500_tree35_leaf0_soft,0.6641784906387329,0.6853416562080383,-0.02116316556930542,0.02116316556930542,False,False
meta_model_input,xs_rank_vol_z,0.8924691677093506,0.8713610768318176,0.02110809087753296,0.02110809087753296,False,False
meta_raw_contract,f434,0.8924691677093506,0.8713610768318176,0.02110809087753296,0.02110809087753296,False,False
meta_model_input,avg_pair_corr_24h,0.6872562170028687,0.67080157995224,0.016454637050628662,0.016454637050628662,False,False
meta_raw_contract,f33,0.6872562170028687,0.67080157995224,0.016454637050628662,0.016454637050628662,False,False
meta_model_input,cs_dispersion_ret_4h,1.4153765439987183,1.4282227754592896,-0.012846231460571289,0.012846231460571289,False,False
meta_raw_contract,f53,1.4153765439987183,1.4282227754592896,-0.012846231460571289,0.012846231460571289,False,False
meta_lgbm_tree,lgbm_depth4_minpct1500_tree45_leaf4_soft,0.33190613985061646,0.3415423035621643,-0.009636163711547852,0.009636163711547852,False,False
meta_model_input,pct_assets_above_ema_fast,1.608532428741455,1.617971658706665,-0.009439229965209961,0.009439229965209961,False,False
meta_raw_contract,f264,1.608532428741455,1.617971658706665,-0.009439229965209961,0.009439229965209961,False,False
meta_model_input,cs_ret_dispersion_24h_pct,1.3469637632369995,1.3540349006652832,-0.007071137428283691,0.007071137428283691,False,False
meta_raw_contract,f55,1.3469637632369995,1.3540349006652832,-0.007071137428283691,0.007071137428283691,False,False
meta_model_input,rsi_z_x_regime_vol,-1.0168901681900024,-1.0227996110916138,0.005909442901611328,0.005909442901611328,False,False
meta_raw_contract,f326,-1.0168901681900024,-1.0227996110916138,0.005909442901611328,0.005909442901611328,False,False
meta_model_input,median_volume_z,-1.0419185161590576,-1.0468937158584595,0.0049751996994018555,0.0049751996994018555,False,False
meta_raw_contract,f131,-1.0419185161590576,-1.0468937158584595,0.0049751996994018555,0.0049751996994018555,False,False
meta_model_input,cs_ret_dispersion_4h_pct,1.0454721450805664,1.0405464172363281,0.004925727844238281,0.004925727844238281,False,False
meta_raw_contract,f56,1.0454721450805664,1.0405464172363281,0.004925727844238281,0.004925727844238281,False,False
meta_model_input,ambig,0.42496511340141296,0.42850273847579956,-0.0035376250743865967,0.0035376250743865967,False,False
meta_raw_contract,f13,0.42496511340141296,0.42850273847579956,-0.0035376250743865967,0.0035376250743865967,False,False
meta_model_input,stage_mr,0.6021692156791687,0.5988574624061584,0.003311753273010254,0.003311753273010254,False,False
meta_raw_contract,f348,0.6021692156791687,0.5988574624061584,0.003311753273010254,0.003311753273010254,False,False
meta_lgbm_tree,lgbm_depth4_minpct1000_tree49_leaf4_soft,0.49831423163414,0.49521830677986145,0.0030959248542785645,0.0030959248542785645,False,False
meta_model_input,pct_assets_above_vwap,-1.9097334146499634,-1.906806230545044,-0.0029271841049194336,0.0029271841049194336,False,False
meta_raw_contract,f265,-1.9097334146499634,-1.906806230545044,-0.0029271841049194336,0.0029271841049194336,False,False
meta_model_input,pred_logit,-0.3589920150590959,-0.3602922313855259,0.0013002163264300148,0.0013002163264300148,False,False
meta_model_input,pred_logit_H10,-0.3589920150590959,-0.3602922313855259,0.0013002163264300148,0.0013002163264300148,False,False
meta_raw_contract,f2,-0.3589920150590959,-0.3602922313855259,0.0013002163264300148,0.0013002163264300148,False,False
meta_raw_contract,f3,-0.3589920150590959,-0.3602922313855259,0.0013002163264300148,0.0013002163264300148,False,False
meta_model_input,market_dispersion_4h,0.24376808106899261,0.24261514842510223,0.0011529326438903809,0.0011529326438903809,False,False
meta_raw_contract,f128,0.24376808106899261,0.24261514842510223,0.0011529326438903809,0.0011529326438903809,False,False
meta_model_input,median_rvol_z,-1.1620564460754395,-1.1609301567077637,-0.0011262893676757812,0.0011262893676757812,False,False
meta_raw_contract,f129,-1.1620564460754395,-1.1609301567077637,-0.0011262893676757812,0.0011262893676757812,False,False
meta_lgbm_tree,lgbm_depth3_minpct0500_tree7_leaf0_soft,0.5316525101661682,0.5305379629135132,0.0011145472526550293,0.0011145472526550293,False,False
meta_lgbm_tree,lgbm_depth3_minpct0800_tree5_leaf0_soft,0.5316525101661682,0.5305379629135132,0.0011145472526550293,0.0011145472526550293,False,False
meta_lgbm_tree,lgbm_depth4_minpct1500_tree14_leaf0_soft,0.5195683836936951,0.51846843957901,0.0010999441146850586,0.0010999441146850586,False,False
meta_lgbm_tree,lgbm_depth4_minpct1500_tree18_leaf3_soft,0.3665798604488373,0.36763837933540344,-0.0010585188865661621,0.0010585188865661621,False,False
meta_model_input,market_breadth_4h,0.1484375,0.14942528307437897,-0.0009877830743789673,0.0009877830743789673,False,False
meta_raw_contract,f126,0.1484375,0.14942528307437897,-0.0009877830743789673,0.0009877830743789673,False,False
meta_model_input,cs_rank_ret_24h,0.35546875,0.3563218414783478,-0.0008530914783477783,0.0008530914783477783,False,False
meta_raw_contract,f54,0.35546875,0.3563218414783478,-0.0008530914783477783,0.0008530914783477783,False,False
meta_model_input,vol_surprise_rel_peers,0.7168787717819214,0.7162471413612366,0.0006316304206848145,0.0006316304206848145,False,False
meta_raw_contract,f387,0.7168787717819214,0.7162471413612366,0.0006316304206848145,0.0006316304206848145,False,False
