feature,row_type,mi_proxy_full,mi_mean_cv,mi_cv,hsic,pearson_corr,r2,n_features,mi_mean_avg,mi_mean_median,r2_mean,r2_median,n_high_mi,n_high_r2,hsic_mean,hsic_median,best_mi_feature_value,best_mi_feature,best_r2_feature_value,best_r2_feature,best_hsic_feature_value,best_hsic_feature,model_i,model_j,rep_feature_i,rep_feature_j,mi_proxy,mi_forward,mi_backward
macro_trend_score_continuous,feature,0.0049022705662213895,0.009819539422498557,0.47710444759560905,0.4116189755710407,0.00046453244632941573,2.157903936927915e-07,,,,,,,,,,,,,,,,,,,,,,
vol_force_breakout,feature,0.0,0.004396430683681096,1.609500142742811,0.005473228857747066,-0.0002152662501847363,4.633955846859748e-08,,,,,,,,,,,,,,,,,,,,,,
vol_force_volatility,feature,0.0,0.0048603389894442016,1.4288640225904283,0.004887358614054253,-0.00017795679056293695,3.166861930746101e-08,,,,,,,,,,,,,,,,,,,,,,
vol_force_trend,feature,0.0,0.003984059519850902,1.813711088928553,0.0050814397850293775,8.441824995216478e-05,7.126440924986169e-09,,,,,,,,,,,,,,,,,,,,,,
smc_predicted,feature,0.0,0.004666608658805238,1.493422448366511,0.006890401450995789,2.7448147170974225e-05,7.534007831194604e-10,,,,,,,,,,,,,,,,,,,,,,
liquidity_score,feature,0.0,0.0003863280534652347,1.3710947183682471,1.0,-0.0026430573059300247,6.98575192243008e-06,,,,,,,,,,,,,,,,,,,,,,
microstructure_score,feature,0.0015741342353852161,0.0034035508456440764,0.5411977698473727,0.45436710375874445,-0.0004603646960188684,2.119356533405451e-07,,,,,,,,,,,,,,,,,,,,,,
spectral_score,feature,0.001879987706464803,0.0029707702059614148,0.5391394095582602,0.49434588281890857,-0.0005810027450536794,3.375641897599108e-07,,,,,,,,,,,,,,,,,,,,,,
candlestick_score,feature,0.0022287178237032634,0.0036055724779018306,0.4881403842118025,0.4580677509430422,-0.00016913139301600493,2.860542810353432e-08,,,,,,,,,,,,,,,,,,,,,,
path_risk_score,feature,0.007912705310602064,0.004244522932584971,1.6832744014234686,0.0008485385598043943,-9.442856684029712e-06,8.916754235512462e-11,,,,,,,,,,,,,,,,,,,,,,
xgb_macro,model_reliability,,,,,,,1.0,0.009819539422498557,0.009819539422498557,2.157903936927915e-07,2.157903936927915e-07,0.0,0.0,0.4116189755710407,0.4116189755710407,0.009819539422498557,macro_trend_score_continuous,2.157903936927915e-07,macro_trend_score_continuous,0.4116189755710407,macro_trend_score_continuous,,,,,,,
volume,model_reliability,,,,,,,3.0,0.004413609730992066,0.004396430683681096,2.8378206233681554e-08,3.166861930746101e-08,0.0,0.0,0.005147342418943566,0.0050814397850293775,0.0048603389894442016,vol_force_volatility,4.633955846859748e-08,vol_force_breakout,0.005473228857747066,vol_force_breakout,,,,,,,
