feature,row_type,mi_proxy_full,mi_mean_cv,mi_cv,hsic,pearson_corr,r2,tv_var_mi_proxy_full,tv_var_mi_mean_cv,tv_var_mi_cv,tv_var_hsic,tv_var_pearson_corr,tv_var_r2,n_features,mi_mean_avg,mi_mean_median,r2_mean,r2_median,n_high_mi,n_high_r2,hsic_mean,hsic_median,best_mi_feature_value,best_mi_feature,best_r2_feature_value,best_r2_feature,best_hsic_feature_value,best_hsic_feature,model_i,model_j,rep_feature_i,rep_feature_j,mi_proxy,mi_forward,mi_backward
ml_momentum_persistence_specialist_probability,feature,0.00034634847038894634,0.0010818078404813748,0.651945733613969,0.5056427006117884,0.0011626179740020224,1.3516805534725673e-06,0.00034634847038894634,0.0010818078404813748,0.651945733613969,0.5056427006117884,0.0011626179740020224,1.3516805534725673e-06,,,,,,,,,,,,,,,,,,,,,,
macro_trend_score_continuous,feature,0.004613917382476629,0.009819539422498557,0.47710444759560905,0.3506158610750114,0.00046453244632941573,2.157903936927915e-07,0.004613917382476629,0.009819539422498557,0.47710444759560905,0.3506158610750114,0.00046453244632941573,2.157903936927915e-07,,,,,,,,,,,,,,,,,,,,,,
smc_predicted,feature,0.0002722504433680939,0.004666608658805238,1.493422448366511,0.00586922416426947,2.7448147170974225e-05,7.534007831194604e-10,0.0002722504433680939,0.004666608658805238,1.493422448366511,0.00586922416426947,2.7448147170974225e-05,7.534007831194604e-10,,,,,,,,,,,,,,,,,,,,,,
liquidity_score,feature,0.0,0.0003863280534652347,1.3710947183682471,0.8517971276435945,-0.0026430573059300247,6.98575192243008e-06,0.0,0.0003863280534652347,1.3710947183682471,0.8517971276435945,-0.0026430573059300247,6.98575192243008e-06,,,,,,,,,,,,,,,,,,,,,,
volatility_burst_score,feature,0.00011692401161589316,5.301252162546177e-05,2.0,1.0,0.0015536772162789932,2.4139128923844416e-06,0.00011692401161589316,5.301252162546177e-05,2.0,1.0,0.0015536772162789932,2.4139128923844416e-06,,,,,,,,,,,,,,,,,,,,,,
volume_force_score,feature,6.615542458199286e-05,0.0005949603298223138,0.35610575536023803,0.657000967033218,0.002492303152795018,6.211575005431987e-06,6.615542458199286e-05,0.0005949603298223138,0.35610575536023803,0.657000967033218,0.002492303152795018,6.211575005431987e-06,,,,,,,,,,,,,,,,,,,,,,
microstructure_score,feature,0.0015741342353852161,0.0034035508456440764,0.5411977698473727,0.3870285938774376,-0.0004603646960188684,2.119356533405451e-07,0.0015741342353852161,0.0034035508456440764,0.5411977698473727,0.3870285938774376,-0.0004603646960188684,2.119356533405451e-07,,,,,,,,,,,,,,,,,,,,,,
spectral_score,feature,0.001879987706464803,0.0029707702059614148,0.5391394095582602,0.42108240304758326,-0.0005810027450536794,3.375641897599108e-07,0.001879987706464803,0.0029707702059614148,0.5391394095582602,0.42108240304758326,-0.0005810027450536794,3.375641897599108e-07,,,,,,,,,,,,,,,,,,,,,,
candlestick_score,feature,0.0022287178237032634,0.0036055724779018306,0.4881403842118025,0.39018079451944476,-0.00016913139301600493,2.860542810353432e-08,0.0022287178237032634,0.0036055724779018306,0.4881403842118025,0.39018079451944476,-0.00016913139301600493,2.860542810353432e-08,,,,,,,,,,,,,,,,,,,,,,
path_risk_score,feature,0.007912705310602064,0.004244522932584971,1.6832744014234686,0.0007227827079362154,-9.442856684029712e-06,8.916754235512462e-11,0.007912705310602064,0.004244522932584971,1.6832744014234686,0.0007227827079362154,-9.442856684029712e-06,8.916754235512462e-11,,,,,,,,,,,,,,,,,,,,,,
momentum,model_reliability,,,,,,,,,,,,,1.0,0.0010818078404813748,0.0010818078404813748,1.3516805534725673e-06,1.3516805534725673e-06,0.0,0.0,0.5056427006117884,0.5056427006117884,0.0010818078404813748,ml_momentum_persistence_specialist_probability,1.3516805534725673e-06,ml_momentum_persistence_specialist_probability,0.5056427006117884,ml_momentum_persistence_specialist_probability,,,,,,,
xgb_macro,model_reliability,,,,,,,,,,,,,1.0,0.009819539422498557,0.009819539422498557,2.157903936927915e-07,2.157903936927915e-07,0.0,0.0,0.3506158610750114,0.3506158610750114,0.009819539422498557,macro_trend_score_continuous,2.157903936927915e-07,macro_trend_score_continuous,0.3506158610750114,macro_trend_score_continuous,,,,,,,
smc,model_reliability,,,,,,,,,,,,,1.0,0.004666608658805238,0.004666608658805238,7.534007831194604e-10,7.534007831194604e-10,0.0,0.0,0.00586922416426947,0.00586922416426947,0.004666608658805238,smc_predicted,7.534007831194604e-10,smc_predicted,0.00586922416426947,smc_predicted,,,,,,,
liquidity,model_reliability,,,,,,,,,,,,,1.0,0.0003863280534652347,0.0003863280534652347,6.98575192243008e-06,6.98575192243008e-06,0.0,0.0,0.8517971276435945,0.8517971276435945,0.0003863280534652347,liquidity_score,6.98575192243008e-06,liquidity_score,0.8517971276435945,liquidity_score,,,,,,,
volatility,model_reliability,,,,,,,,,,,,,1.0,5.301252162546177e-05,5.301252162546177e-05,2.4139128923844416e-06,2.4139128923844416e-06,0.0,0.0,1.0,1.0,5.301252162546177e-05,volatility_burst_score,2.4139128923844416e-06,volatility_burst_score,1.0,volatility_burst_score,,,,,,,
volume,model_reliability,,,,,,,,,,,,,1.0,0.0005949603298223138,0.0005949603298223138,6.211575005431987e-06,6.211575005431987e-06,0.0,0.0,0.657000967033218,0.657000967033218,0.0005949603298223138,volume_force_score,6.211575005431987e-06,volume_force_score,0.657000967033218,volume_force_score,,,,,,,
microstructure,model_reliability,,,,,,,,,,,,,1.0,0.0034035508456440764,0.0034035508456440764,2.119356533405451e-07,2.119356533405451e-07,0.0,0.0,0.3870285938774376,0.3870285938774376,0.0034035508456440764,microstructure_score,2.119356533405451e-07,microstructure_score,0.3870285938774376,microstructure_score,,,,,,,
spectral,model_reliability,,,,,,,,,,,,,1.0,0.0029707702059614148,0.0029707702059614148,3.375641897599108e-07,3.375641897599108e-07,0.0,0.0,0.42108240304758326,0.42108240304758326,0.0029707702059614148,spectral_score,3.375641897599108e-07,spectral_score,0.42108240304758326,spectral_score,,,,,,,
candlestick,model_reliability,,,,,,,,,,,,,1.0,0.0036055724779018306,0.0036055724779018306,2.860542810353432e-08,2.860542810353432e-08,0.0,0.0,0.39018079451944476,0.39018079451944476,0.0036055724779018306,candlestick_score,2.860542810353432e-08,candlestick_score,0.39018079451944476,candlestick_score,,,,,,,
risk,model_reliability,,,,,,,,,,,,,1.0,0.004244522932584971,0.004244522932584971,8.916754235512462e-11,8.916754235512462e-11,0.0,0.0,0.0007227827079362154,0.0007227827079362154,0.004244522932584971,path_risk_score,8.916754235512462e-11,path_risk_score,0.0007227827079362154,path_risk_score,,,,,,,
momentum|volume,model_pairwise,,,,,,0.8952304941828203,,,,,,,,,,,,,,,,,,,,,,momentum,volume,ml_momentum_persistence_specialist_probability,volume_force_score,0.9461662085399268,0.9461662085399268,0.9461662085399268
momentum|volatility,model_pairwise,,,,,,0.7866910929059447,,,,,,,,,,,,,,,,,,,,,,momentum,volatility,ml_momentum_persistence_specialist_probability,volatility_burst_score,0.886956082850749,0.886956082850749,0.886956082850749
volatility|volume,model_pairwise,,,,,,0.6454658630738147,,,,,,,,,,,,,,,,,,,,,,volatility,volume,volatility_burst_score,volume_force_score,0.8034089015400655,0.8034089015400655,0.8034089015400655
microstructure|spectral,model_pairwise,,,,,,0.2907237703666999,,,,,,,,,,,,,,,,,,,,,,microstructure,spectral,microstructure_score,spectral_score,0.5391880658607903,0.5391880658607903,0.5391880658607903
candlestick|microstructure,model_pairwise,,,,,,0.20055416469632298,,,,,,,,,,,,,,,,,,,,,,candlestick,microstructure,candlestick_score,microstructure_score,0.44783274187616406,0.44783274187616406,0.44783274187616406
liquidity|volatility,model_pairwise,,,,,,0.180543771288888,,,,,,,,,,,,,,,,,,,,,,liquidity,volatility,liquidity_score,volatility_burst_score,0.4249044260641303,0.4249044260641303,0.4249044260641303
liquidity|momentum,model_pairwise,,,,,,0.15365866568898523,,,,,,,,,,,,,,,,,,,,,,liquidity,momentum,liquidity_score,ml_momentum_persistence_specialist_probability,0.39199319597281945,0.39199319597281945,0.39199319597281945
liquidity|volume,model_pairwise,,,,,,0.11864215498717176,,,,,,,,,,,,,,,,,,,,,,liquidity,volume,liquidity_score,volume_force_score,0.34444470526801796,0.34444470526801796,0.34444470526801796
volatility|xgb_macro,model_pairwise,,,,,,0.11746396901075842,,,,,,,,,,,,,,,,,,,,,,volatility,xgb_macro,volatility_burst_score,macro_trend_score_continuous,0.34273016939096335,0.34273016939096335,0.34273016939096335
candlestick|spectral,model_pairwise,,,,,,0.07720931607357362,,,,,,,,,,,,,,,,,,,,,,candlestick,spectral,candlestick_score,spectral_score,0.27786564392449387,0.27786564392449387,0.27786564392449387
liquidity|smc,model_pairwise,,,,,,0.0692179625424725,,,,,,,,,,,,,,,,,,,,,,liquidity,smc,liquidity_score,smc_predicted,0.2630930682144106,0.2630930682144106,0.2630930682144106
momentum|risk,model_pairwise,,,,,,0.0622106355657641,,,,,,,,,,,,,,,,,,,,,,momentum,risk,ml_momentum_persistence_specialist_probability,path_risk_score,0.2494205997221643,0.2494205997221643,0.2494205997221643
momentum|xgb_macro,model_pairwise,,,,,,0.06060161713149618,,,,,,,,,,,,,,,,,,,,,,momentum,xgb_macro,ml_momentum_persistence_specialist_probability,macro_trend_score_continuous,0.2461739570537391,0.2461739570537391,0.2461739570537391
risk|volatility,model_pairwise,,,,,,0.05753025187564087,,,,,,,,,,,,,,,,,,,,,,risk,volatility,path_risk_score,volatility_burst_score,0.2398546473922089,0.2398546473922089,0.2398546473922089
volume|xgb_macro,model_pairwise,,,,,,0.0474387412051206,,,,,,,,,,,,,,,,,,,,,,volume,xgb_macro,volume_force_score,macro_trend_score_continuous,0.21780436452266194,0.21780436452266194,0.21780436452266194
risk|volume,model_pairwise,,,,,,0.03592242776441637,,,,,,,,,,,,,,,,,,,,,,risk,volume,path_risk_score,volume_force_score,0.18953212858092522,0.18953212858092522,0.18953212858092522
smc|volatility,model_pairwise,,,,,,0.02761625200610556,,,,,,,,,,,,,,,,,,,,,,smc,volatility,smc_predicted,volatility_burst_score,0.16618138285050332,0.16618138285050332,0.16618138285050332
microstructure|volume,model_pairwise,,,,,,0.019222535517838236,,,,,,,,,,,,,,,,,,,,,,microstructure,volume,microstructure_score,volume_force_score,0.13864535880381368,0.13864535880381368,0.13864535880381368
microstructure|smc,model_pairwise,,,,,,0.018719576740459615,,,,,,,,,,,,,,,,,,,,,,microstructure,smc,microstructure_score,smc_predicted,0.13681950423992778,0.13681950423992778,0.13681950423992778
microstructure|momentum,model_pairwise,,,,,,0.016190505514056347,,,,,,,,,,,,,,,,,,,,,,microstructure,momentum,microstructure_score,ml_momentum_persistence_specialist_probability,0.12724191728379586,0.12724191728379586,0.12724191728379586
liquidity|xgb_macro,model_pairwise,,,,,,0.014503471610890366,,,,,,,,,,,,,,,,,,,,,,liquidity,xgb_macro,liquidity_score,macro_trend_score_continuous,0.12043036000481924,0.12043036000481924,0.12043036000481924
smc|spectral,model_pairwise,,,,,,0.014408574767193962,,,,,,,,,,,,,,,,,,,,,,smc,spectral,smc_predicted,spectral_score,0.12003572287945768,0.12003572287945768,0.12003572287945768
momentum|smc,model_pairwise,,,,,,0.012895127538736895,,,,,,,,,,,,,,,,,,,,,,momentum,smc,ml_momentum_persistence_specialist_probability,smc_predicted,0.11355671507549386,0.11355671507549386,0.11355671507549386
candlestick|xgb_macro,model_pairwise,,,,,,0.01211502972756244,,,,,,,,,,,,,,,,,,,,,,candlestick,xgb_macro,candlestick_score,macro_trend_score_continuous,0.11006829574206389,0.11006829574206389,0.11006829574206389
smc|volume,model_pairwise,,,,,,0.011140328348421028,,,,,,,,,,,,,,,,,,,,,,smc,volume,smc_predicted,volume_force_score,0.10554775387672173,0.10554775387672173,0.10554775387672173
