feature,replay_pre_transform,replay_post_transform,snapshot_post_transform,post_minus_pre,snapshot_minus_replay_post,pre_missing,post_missing,snapshot_missing,abs_snapshot_post_delta
G_EXH_EFFORT,,-2.053748846054077,-2.053748846054077,,0.0,True,False,False,0.0
G_EXH_GIVEBACK,,1.0,1.0,,0.0,True,False,False,0.0
G_EXH_TAIL_FAIL,,2.053748846054077,2.053748846054077,,0.0,True,False,False,0.0
G_LIQ_EXCEL,,0.0,0.0,,0.0,True,False,False,0.0
G_LIQ_GOOD,,0.0,0.0,,0.0,True,False,False,0.0
G_LIQ_GREAT,,0.0,0.0,,0.0,True,False,False,0.0
G_MR_SPIKE,,-0.2555071711540222,-0.2555071711540222,,0.0,True,False,False,0.0
G_TF_TREND,,0.9360866546630859,0.9360866546630859,,0.0,True,False,False,0.0
G_TREND,,0.0,0.0,,0.0,True,False,False,0.0
G_VOL,,0.0,0.0,,0.0,True,False,False,0.0
G_VOL_LIQ_GT1,,0.0,0.0,,0.0,True,False,False,0.0
G_VOL_LIQ_GT2,,0.0,0.0,,0.0,True,False,False,0.0
G_VOL_LIQ_GT3,,0.0,0.0,,0.0,True,False,False,0.0
a_funding_proxy,,-2.053748846054077,-2.053748846054077,,0.0,True,False,False,0.0
accel_5h,,1.4457517862319946,1.4457517862319946,,0.0,True,False,False,0.0
adx_10,,2.053748846054077,2.053748846054077,,0.0,True,False,False,0.0
adx_10_gt25,,1.0,1.0,,0.0,True,False,False,0.0
adx_10_slope,,0.7652391195297241,0.7652391195297241,,0.0,True,False,False,0.0
adx_14,,2.053748846054077,2.053748846054077,,0.0,True,False,False,0.0
adx_14_gt25,,1.0,1.0,,0.0,True,False,False,0.0
adx_14_slope,,-0.7524075508117676,-0.7524075508117676,,0.0,True,False,False,0.0
adx_7,,2.053748846054077,2.053748846054077,,0.0,True,False,False,0.0
adx_7_gt25,,1.0,1.0,,0.0,True,False,False,0.0
adx_7_slope,,1.1114660501480103,1.1114660501480103,,0.0,True,False,False,0.0
adx_di_minus_10,,2.053748846054077,2.053748846054077,,0.0,True,False,False,0.0
adx_di_minus_14,,2.053748846054077,2.053748846054077,,0.0,True,False,False,0.0
adx_di_minus_7,,1.8916940689086914,1.8916940689086914,,0.0,True,False,False,0.0
adx_di_plus_10,,2.053748846054077,2.053748846054077,,0.0,True,False,False,0.0
adx_di_plus_14,,2.053748846054077,2.053748846054077,,0.0,True,False,False,0.0
adx_di_plus_7,,2.053748846054077,2.053748846054077,,0.0,True,False,False,0.0
adx_zscore,,-0.4447920024394989,-0.4447920024394989,,0.0,True,False,False,0.0
align,,-1.0,-1.0,,0.0,True,False,False,0.0
ambig,,0.6189777851104736,0.6189777851104736,,0.0,True,False,False,0.0
amihud_illiq,,1.153869867324829,1.153869867324829,,0.0,True,False,False,0.0
amihud_z,,0.0,0.0,,0.0,True,False,False,0.0
asset_atr_level,,-0.97501540184021,-0.97501540184021,,0.0,True,False,False,0.0
asset_minus_universe_median_ret_24h,,0.13467586040496826,0.13467586040496826,,0.0,True,False,False,0.0
asset_minus_universe_median_ret_48h,,-0.2243840992450714,-0.2243840992450714,,0.0,True,False,False,0.0
asset_minus_universe_median_ret_4h,,0.8504302501678467,0.8504302501678467,,0.0,True,False,False,0.0
asset_mom_minus_basket_mom_24h,,-2.053748846054077,-2.053748846054077,,0.0,True,False,False,0.0
asset_mom_minus_basket_mom_4h,,-0.3781404197216034,-0.3781404197216034,,0.0,True,False,False,0.0
asset_ret_vs_btc_24h,,-0.9137926697731018,-0.9137926697731018,,0.0,True,False,False,0.0
asset_ret_vs_btc_48h,,-1.1599960327148438,-1.1599960327148438,,0.0,True,False,False,0.0
asset_ret_vs_btc_4h,,0.19569990038871765,0.19569990038871765,,0.0,True,False,False,0.0
asset_ret_vs_universe_24h,,0.13467586040496826,0.13467586040496826,,0.0,True,False,False,0.0
asset_ret_vs_universe_48h,,-0.2243840992450714,-0.2243840992450714,,0.0,True,False,False,0.0
asset_ret_vs_universe_4h,,0.8504302501678467,0.8504302501678467,,0.0,True,False,False,0.0
asset_vol_level,,-1.4981368780136108,-1.4981368780136108,,0.0,True,False,False,0.0
asym_ft,,2.053748846054077,2.053748846054077,,0.0,True,False,False,0.0
asym_ratio,,0.8715029954910278,0.8715029954910278,,0.0,True,False,False,0.0
atr_change_rate,,0.060069285333156586,0.060069285333156586,,0.0,True,False,False,0.0
atr_change_rate_ts_continuous,,-0.02429908514022827,-0.02429908514022827,,0.0,True,False,False,0.0
atr_compression_ratio,,-1.3643016815185547,-1.3643016815185547,,0.0,True,False,False,0.0
atr_expansion,,-0.38988542556762695,-0.38988542556762695,,0.0,True,False,False,0.0
atr_pct_base,,0.04678266495466232,0.04678266495466232,,0.0,True,False,False,0.0
atr_pct_change,,-0.37284958362579346,-0.37284958362579346,,0.0,True,False,False,0.0
atr_percentile,,0.7570139169692993,0.7570139169692993,,0.0,True,False,False,0.0
atr_slope,,1.5385812520980835,1.5385812520980835,,0.0,True,False,False,0.0
avg_pair_corr_24h,,0.5204192399978638,0.5204192399978638,,0.0,True,False,False,0.0
barrier_pct,,0.00994817353785038,0.00994817353785038,,0.0,True,False,False,0.0
bars_in_high_vol_state_log_norm,,-0.4739646017551422,-0.4739646017551422,,0.0,True,False,False,0.0
bars_outside_ema20_atr_band_log_norm,,0.0,0.0,,0.0,True,False,False,0.0
bars_since_ema20_ema50_cross_log_norm,,0.0,0.0,,0.0,True,False,False,0.0
bb_pos_12,,1.0529723167419434,1.0529723167419434,,0.0,True,False,False,0.0
bb_pos_24,,1.5035755634307861,1.5035755634307861,,0.0,True,False,False,0.0
be_vol_units,,1.9713152647018433,1.9713152647018433,,0.0,True,False,False,0.0
beta_24h,,0.1527777761220932,0.1527777761220932,,0.0,True,False,False,0.0
beta_adj_resid_ret_24h,,0.35466909408569336,0.35466909408569336,,0.0,True,False,False,0.0
blowoff_risk,,0.0,0.0,,0.0,True,False,False,0.0
body_pct,,0.18881197273731232,0.18881197273731232,,0.0,True,False,False,0.0
body_ratio,,1.801470160484314,1.801470160484314,,0.0,True,False,False,0.0
